0	0.184272
1	0.0312849
2	0.0872822
3	0.0872822
4	0.0872822
5	0.0872822
6	0.0872822
7	0.0872822
8	0.0903596
9	0.0926125
10	0.0940407
11	0.0956899
12	0.0965145
13	0.0975601
14	0.0988266
15	0.100034
16	0.0698669
17	0.0481067
18	0.0347532
19	0.0191471
20	0.0611869
21	0.0877805
22	0.0989279
23	0.114214
24	0.118615
25	0.125932
26	0.136166
27	0.145619
28	0.0956178
29	0.0615475
30	0.0434077
31	0.0209993
32	0.0781143
33	0.113921
34	0.12842
35	0.148628
36	0.102315
37	0.0738259
38	0.0631614
39	0.0477209
40	0.0716388
41	0.0850106
42	0.0878364
43	0.0934881
44	0.0885936
45	0.086525
46	0.0872822
47	0.0872822
48	0.0872822
49	0.0872822
50	0.0872822
51	0.0872822
52	0.0872822
53	0.0872822
54	0.0872822
55	0.0872822
56	0.0872822
57	0.0872822
58	0.0872822
59	0.0872822
60	0.0872822
61	0.0872822
62	0.0722777
63	0.0612937
64	0.111642
65	0.106019
66	0.103042
67	0.0993559
68	0.0983164
69	0.0965679
70	0.0941102
71	0.0918425
72	0.0922213
73	0.091891
74	0.0908516
75	0.0900022
76	0.0884436
77	0.0870751
78	0.0858966
79	0.0846671
80	0.165402
81	0.224175
82	0.260985
83	0.30368
84	0.324413
85	0.351031
86	0.383533
87	0.414458
88	0.693673
89	0.90636
90	1.05252
91	1.2165
92	0.814659
93	0.56443
94	0.465813
95	0.326572
96	0.402881
97	0.421433
98	0.382229
99	0.358501
100	0.277016
101	0.211007
102	0.160474
103	0.105794
104	0.109821
105	0.0981164
106	0.0706821
107	0.0474626
108	0.00851301
109	-0.0262217
110	-0.0567416
111	-0.0883908
112	-0.00423998
113	0.0488823
114	0.0709761
115	0.101384
116	0.100763
117	0.108457
118	0.124464
119	0.138244
120	0.120995
121	0.11206
122	0.111439
123	0.108591
124	0.114057
125	0.117294
126	0.118305
127	0.119912
128	0.100297
129	0.100297
130	0.100297
131	0.100297
132	0.100297
133	0.100297
134	0.100297
135	0.100297
136	0.100297
137	0.100297
138	0.100297
139	0.100297
140	0.100297
141	0.100297
142	0.100297
143	0.100297
144	0.100297
145	0.100297
146	0.100297
147	0.100297
148	0.108071
149	0.113761
150	0.117369
151	0.121535
152	0.0562975
153	0.00965668
154	0.105988
155	0.16401
156	0.113761
157	0.0925239
158	0.100297
159	0.100297
160	0.100297
161	0.100297
162	0.100297
163	0.100297
164	0.100297
165	0.100297
166	0.100297
167	0.100297
168	0.0871212
169	0.0774756
170	0.185469
171	0.0511234
172	0.0826602
173	0.0697488
174	0.214306
175	0.0344744
176	0.100297
177	0.100297
178	0.100297
179	0.100297
180	0.100297
181	0.100297
182	0.100297
183	0.100297
184	0.100297
185	0.100297
186	0.0858441
187	0.0752635
188	0.193725
189	0.046357
190	0.100297
191	0.100297
192	0.0780194
193	0.0845735
194	0.0876538
195	0.0916649
196	0.0922023
197	0.0936705
198	0.0960695
199	0.098219
200	0.0968948
201	0.0965014
202	0.0970388
203	0.0973268
204	0.0985456
205	0.0995149
206	0.100235
207	0.101022
208	0.0983348
209	0.0965786
210	0.0957532
211	0.0946784
212	0.0945345
213	0.0941411
214	0.0934983
215	0.0929223
216	0.0932771
217	0.0933825
218	0.0932385
219	0.0931613
220	0.0999197
221	0.104846
222	0.107942
223	0.111528
224	0.0608113
225	0.0246452
226	0.116388
227	0.173857
228	0.130248
229	0.113722
230	0.124281
231	0.127583
232	0.128485
233	0.13003
234	0.132219
235	0.134234
236	0.136893
237	0.13938
238	0.141694
239	0.144054
240	0.103382
241	0.07424
242	0.201661
243	0.019181
244	0.144916
245	0.188065
246	0.085649
247	0.0222371
248	0.0729983
249	0.0931669
250	0.0827429
251	0.0805162
252	0.0769653
253	0.0737692
254	0.0709279
255	0.0679915
